Date,GameID,Drive,qtr,down,time,TimeUnder,TimeSecs,PlayTimeDiff,SideofField,yrdln,yrdline100,ydstogo,ydsnet,GoalToGo,FirstDown,posteam,DefensiveTeam,desc,PlayAttempted,Yards.Gained,sp,Touchdown,ExPointResult,TwoPointConv,DefTwoPoint,Safety,Onsidekick,PuntResult,PlayType,Passer,Passer_ID,PassAttempt,PassOutcome,PassLength,AirYards,YardsAfterCatch,QBHit,PassLocation,InterceptionThrown,Interceptor,Rusher,Rusher_ID,RushAttempt,RunLocation,RunGap,Receiver,Receiver_ID,Reception,ReturnResult,Returner,BlockingPlayer,Tackler1,Tackler2,FieldGoalResult,FieldGoalDistance,Fumble,RecFumbTeam,RecFumbPlayer,Sack,Challenge.Replay,ChalReplayResult,Accepted.Penalty,PenalizedTeam,PenaltyType,PenalizedPlayer,Penalty.Yards,PosTeamScore,DefTeamScore,ScoreDiff,AbsScoreDiff,HomeTeam,AwayTeam,Timeout_Indicator,Timeout_Team,posteam_timeouts_pre,HomeTimeouts_Remaining_Pre,AwayTimeouts_Remaining_Pre,HomeTimeouts_Remaining_Post,AwayTimeouts_Remaining_Post,No_Score_Prob,Opp_Field_Goal_Prob,Opp_Safety_Prob,Opp_Touchdown_Prob,Field_Goal_Prob,Safety_Prob,Touchdown_Prob,ExPoint_Prob,TwoPoint_Prob,ExpPts,EPA,airEPA,yacEPA,Home_WP_pre,Away_WP_pre,Home_WP_post,Away_WP_post,Win_Prob,WPA,airWPA,yacWPA,Season
2016-12-11,2016121101,13,2,,02:00,2,1920.0,5.0,SD,44.0,44.0,0,22,0.0,,,,Two-Minute Warning,1,0,0,0,,,,0,0,,Two Minute Warning,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,,,,,,,0,,,0,0,,0,,,,0,,,,,CAR,SD,0,None,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.829563799468062,,,,,,,0.0,,,,2016
2016-12-11,2016121101,13,2,1.0,02:00,2,1920.0,0.0,SD,47.0,53.0,10,68,0.0,1.0,SD,CAR,"(2:00) (Shotgun) P.Rivers pass deep left to Ty.Williams to CAR 7 for 46 yards (D.Worley). Penalty on CAR-K.Short, Defensive Offside, declined.",1,46,0,0,,,,0,0,,Pass,P.Rivers,00-0022942,1,Complete,Deep,43,3,0,left,0,,,None,0,,,Ty.Williams,00-0032160,1,,,,D.Worley,,,,0,,,0,0,,0,,,,0,0.0,23.0,-23.0,23.0,CAR,SD,0,None,2,2,2,2,2,0.4093913114946386,0.050948934052939,0.0003593116691030576,0.0744798469239509,0.1849332639046461,0.0019045923928503,0.2779827395618718,0.0,0.0,1.829563799468062,2.6414361095051277,2.3109613855318454,0.3304747239732819,0.9680253236589808,0.0319746763410192,0.9401702779998142,0.0598297220001857,0.0319746763410192,0.0278550456591664,0.0242985921659956,0.0035564534931708,2016
2016-12-11,2016121101,13,2,1.0,01:50,2,1910.0,10.0,CAR,7.0,7.0,7,66,1.0,0.0,SD,CAR,(1:50) (Shotgun) K.Farrow left guard to CAR 9 for -2 yards (V.Butler).,1,-2,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,K.Farrow,00-0032902,1,middle,,,None,0,,,,V.Butler,,,,0,,,0,0,,0,,,,0,0.0,23.0,-23.0,23.0,CAR,SD,0,None,2,2,2,2,2,0.1274229679921539,0.0079402259971948,9.779065469207054e-06,0.0044339780319388,0.3732267984108159,0.0005132314860306429,0.4864530190163964,0.0,0.0,4.470999908973189,-0.6601844609102594,,,0.9401702779998142,0.0598297220001857,0.94757522366318,0.0524247763368199,0.0598297220001857,-0.0074049456633658,,,2016
2016-12-11,2016121101,13,2,2.0,01:17,2,1877.0,33.0,CAR,9.0,9.0,9,66,1.0,0.0,SD,CAR,"(1:17) (No Huddle, Shotgun) P.Rivers pass incomplete short right.",1,0,0,0,,,,0,0,,Pass,P.Rivers,00-0022942,1,Incomplete Pass,Short,9,0,0,right,0,,,None,0,,,,None,0,,,,,,,,0,,,0,0,,0,,,,0,0.0,23.0,-23.0,23.0,CAR,SD,0,None,2,2,2,2,2,0.1591280565376825,0.0090975535212219,2.080081462118952e-05,0.0050891148420364,0.4776380803341012,0.0004650969009134319,0.3485612970494233,0.0,0.0,3.8108154480629297,-0.576974608515906,3.1891845519370703,-3.766159160452976,0.94757522366318,0.0524247763368199,0.9536005063749344,0.0463994936250654,0.0524247763368199,-0.0060252827117544,0.0361360387498117,-0.0421613214615662,2016
2016-12-11,2016121101,13,2,3.0,01:08,2,1868.0,9.0,CAR,9.0,9.0,9,75,1.0,0.0,SD,CAR,"(1:08) (Shotgun) P.Rivers pass short left to H.Henry for 9 yards, TOUCHDOWN.",1,9,1,1,,,,0,0,,Pass,P.Rivers,00-0022942,1,Complete,Short,9,0,0,left,0,,,None,0,,,H.Henry,00-0033090,1,,,,,,,,0,,,0,0,,0,,,,0,0.0,23.0,-23.0,23.0,CAR,SD,0,None,2,2,2,2,2,0.1746726614765444,0.0100349099225713,3.2839066647280985e-05,0.0059433686672041,0.589164650624802,0.0005880230903117265,0.2195635471519188,0.0,0.0,3.233840839547024,3.766159160452976,3.766159160452976,0.0,0.9536005063749344,0.0463994936250654,0.9123539483424884,0.0876460516575117,0.0463994936250654,0.0412465580324462,0.0412465580324462,0.0,2016
2016-12-11,2016121101,13,2,,01:03,2,1863.0,5.0,CAR,15.0,15.0,0,75,0.0,0.0,SD,CAR,"J.Lambo extra point is GOOD, Center-M.Windt, Holder-K.Clemens.",1,0,1,0,Made,,,0,0,,Extra Point,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,,,,,,,0,,,0,0,,0,,,,0,6.0,23.0,-17.0,17.0,CAR,SD,0,None,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931114949971538,0.0,0.931114949971538,0.0688850500284619,,,0.9123539483424884,0.0876460516575117,0.9270972288893096,0.0729027711106905,0.0876460516575117,-0.0147432805468211,,,2016
2016-12-11,2016121101,14,2,,01:03,2,1863.0,0.0,SD,35.0,35.0,0,0,0.0,,CAR,SD,J.Lambo kicks 66 yards from SD 35 to CAR -1. J.Webb to CAR 20 for 21 yards (D.Watt).,1,21,0,0,,,,0,0,,Kickoff,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,J.Webb,,D.Watt,,,,0,,,0,0,,0,,,,0,23.0,7.0,16.0,16.0,CAR,SD,0,None,2,2,2,2,2,0.681432537935525,0.0451128138082706,0.0023259782318341,0.032718158933549,0.1257515685272396,0.0004849497997937311,0.1121739927637878,0.0,0.0,0.7944250441044978,-0.1778112789283601,,,0.9270972288893096,0.0729027711106905,0.925050713547346,0.074949286452654,0.9270972288893096,-0.0020465153419635,,,2016
2016-12-11,2016121101,14,2,1.0,00:58,1,1858.0,5.0,CAR,20.0,80.0,10,5,0.0,0.0,CAR,SD,(:58) J.Stewart left guard to CAR 25 for 5 yards (T.Palepoi; J.Brown).,1,5,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,K.Farrow,00-0026153,1,right,tackle,,None,0,,,,T.Palepoi,J.Brown,,,0,,,0,0,,0,,,,0,23.0,7.0,16.0,16.0,CAR,SD,0,None,2,2,2,2,2,0.7118550571619396,0.046545430920426,0.0032459777546087,0.0337755595955445,0.1076626732599078,0.0004448396634584374,0.0964704616441149,0.0,0.0,0.6166137651761376,-0.0150201932780433,,,0.925050713547346,0.074949286452654,0.9252173286135,0.0747826713864998,0.925050713547346,0.00016661506615422983,,,2016
2016-12-11,2016121101,14,2,2.0,00:25,1,1825.0,33.0,CAR,25.0,75.0,5,5,0.0,0.0,CAR,SD,(:25) (Shotgun) J.Stewart up the middle to CAR 25 for no gain (T.Palepoi).,1,0,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,K.Farrow,00-0026153,1,left,guard,,None,0,,,,T.Palepoi,,,,0,,,0,0,,0,,,,0,23.0,7.0,16.0,16.0,CAR,SD,0,None,2,2,2,2,2,0.7284360467509808,0.0438443532907342,0.0022303953847848,0.0313578325304337,0.0998781643551284,0.0004629393256093836,0.0937902683623283,0.0,0.0,0.6015935718980943,-0.6015935718980943,,,0.9252173286135,0.0747826713864998,,,0.9252173286135,,,,2016
2016-12-11,2016121101,14,2,,00:00,0,1800.0,25.0,CAR,25.0,25.0,0,5,0.0,0.0,,,END QUARTER 2,1,0,0,0,,,,0,0,,Quarter End,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,,,,,,,0,,,0,0,,0,,,,0,,,,,CAR,SD,0,None,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,2016
